id,code,parent_id/id,name,user_type_id/id,chart_template_id/id,reconcile
petrogas_coa_62,62,petrogas_coa_6,Other expenses,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_621,621,petrogas_coa_62,Finance Costs,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_letter_credt_fees,621100,petrogas_coa_621,Letter of credit fees,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_622,622,petrogas_coa_62,Interest Expense,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_623,623,petrogas_coa_62,Unwinding Discounts On Provisions,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_624,624,petrogas_coa_62,Donations And Subsidies,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_625,625,petrogas_coa_62,Dividends Classified As Expense,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_63,63,petrogas_coa_6,Gains And Losses,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_631,631,petrogas_coa_63,Foreign Exchange Gain (Loss),account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_currency_exchange_gain,631001,petrogas_coa_631,Foreign Exchange Gain,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_currency_exchange_loss,631002,petrogas_coa_631,Foreign Exchange Loss,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_632,632,petrogas_coa_63,Gains or losses on investments,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_633,633,petrogas_coa_63,Gains or losses on derivatives,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_634,634,petrogas_coa_63,Gains or losses on investment property,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_635,635,petrogas_coa_63,Gain (Loss) On Liability Extinguishment,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_636,636,petrogas_coa_63,Restructuring Activities,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_637,637,petrogas_coa_63,Expense (Income) On Discontinued Operations,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
